graph,batch_deletions_fraction,batch_insertions_fraction,hubd0-t,hubd2-t,hubd4-t,hubd8-t,hubd16-t,hubd32-t,hubd64-t,hubd128-t,hubd256-t,hubd512-t,hubd1024-t,hubd0-p,hubd2-p,hubd4-p,hubd8-p,hubd16-p,hubd32-p,hubd64-p,hubd128-p,hubd256-p,hubd512-p,hubd1024-p,hubd0-r,hubd2-r,hubd4-r,hubd8-r,hubd16-r,hubd32-r,hubd64-r,hubd128-r,hubd256-r,hubd512-r,hubd1024-r,hubd0-f1,hubd2-f1,hubd4-f1,hubd8-f1,hubd16-f1,hubd32-f1,hubd64-f1,hubd128-f1,hubd256-f1,hubd512-f1,hubd1024-f1
all,0,0.0001,1048.201,3.301,3.901,6.701,9.401,13.601,22.401,27.201,32.101,39.301,51.601,0.0443305698,0.001785698039,0.002416978431,0.004777990196,0.00906057451,0.01561242549,0.0241529098,0.03403253059,0.04120588235,0.04338177059,0.04430392157,0.04433842098,0.001538021569,0.002417507843,0.004779127451,0.00906304902,0.01561640588,0.02415881176,0.03404038176,0.04121568627,0.04339157843,0.04431176471,0.04433449504,0.001652631644,0.002417243108,0.004778558756,0.009061811596,0.01561441543,0.02415586042,0.03403645572,0.04121078373,0.04338667396,0.04430784279
all,0,0.001,1091.301,3.601,4.401,7.201,10.601,15.301,24.401,29.001,35.301,41.201,54.201,0.06081347451,0.00676397451,0.009119163725,0.01007460647,0.01634767569,0.02689911529,0.03758963431,0.04954932275,0.05762150373,0.05984961843,0.06071872392,0.06087201843,0.004460043137,0.008002312353,0.01008989255,0.01636262961,0.0269241298,0.03762941039,0.04959441392,0.05767598961,0.05990841745,0.06077737275,0.06084273239,0.00537554716,0.008524311361,0.01008224372,0.01635514923,0.02691161674,0.03760951184,0.04957185808,0.05764873379,0.05987900351,0.06074803418
all,0,0.01,330.5877262,10.12172249,11.73758421,15.66195447,22.49528011,32.40727983,49.44581614,70.48436549,93.33273769,111.5011806,139.998285,0.07911999118,0.04567542894,0.05924357961,0.04130467353,0.03679714804,0.04620009314,0.05875419706,0.07065324608,0.07736773627,0.07953228725,0.07987725882,0.0797937198,0.01054905276,0.02007301255,0.03290625471,0.03711674745,0.04658689137,0.05925151863,0.07124847137,0.07802524373,0.0802048402,0.08055901,0.07945542732,0.0171395981,0.02998608701,0.03663024139,0.03695625678,0.04639268604,0.05900180989,0.07094961035,0.07769509896,0.07986714788,0.08021668591
all,0,0.1,463.3350791,22.57212015,25.41271394,29.48573053,39.12689952,54.17283021,78.54130275,111.1227255,150.9418786,185.6427973,221.6032778,0.1074848078,0.1995785324,0.1679738343,0.136088981,0.1026474039,0.08915449078,0.1010687925,0.1106549886,0.112947402,0.1103192949,0.1096130339,0.112582072,0.009341306,0.04579566824,0.0625612349,0.08242452706,0.09391244824,0.1064960025,0.1164384165,0.1186680106,0.1157467541,0.1149100106,0.1099744076,0.0178472677,0.07196979828,0.08571744731,0.09143108495,0.09147163923,0.1037114447,0.1134730588,0.1157370604,0.1129678725,0.1121990388
