graph,batch_deletions_fraction,batch_insertions_fraction,leicht0-t,leicht2-t,leicht4-t,leicht8-t,leicht16-t,leicht32-t,leicht64-t,leicht128-t,leicht256-t,leicht512-t,leicht1024-t,leicht0-p,leicht2-p,leicht4-p,leicht8-p,leicht16-p,leicht32-p,leicht64-p,leicht128-p,leicht256-p,leicht512-p,leicht1024-p,leicht0-r,leicht2-r,leicht4-r,leicht8-r,leicht16-r,leicht32-r,leicht64-r,leicht128-r,leicht256-r,leicht512-r,leicht1024-r,leicht0-f1,leicht2-f1,leicht4-f1,leicht8-f1,leicht16-f1,leicht32-f1,leicht64-f1,leicht128-f1,leicht256-f1,leicht512-f1,leicht1024-f1
all,0,0.0001,1041.401,3.301,3.801,6.701,9.301,14.101,22.501,27.801,31.901,38.601,51.801,0.002004491373,0.001564015686,0.001950661961,0.001535811765,0.001504939216,0.001767000392,0.001867432549,0.002103118824,0.002247040392,0.002128235294,0.002127058824,0.002004891569,0.001328186275,0.001951133922,0.001536241176,0.001505207843,0.001767229412,0.001867832157,0.002103714314,0.00224744,0.002128823529,0.00212745098,0.002004691451,0.001436486245,0.001950897913,0.001536026441,0.001505073517,0.001767114895,0.001867632332,0.002103416526,0.002247240178,0.002128529371,0.002127254884
all,0,0.001,1063.901,3.501,4.101,7.101,10.501,15.201,24.201,29.901,33.701,41.401,54.101,0.008066041176,0.007450632549,0.007640890392,0.007278416667,0.007357652549,0.007761261373,0.007877099608,0.008206419804,0.008100381569,0.00814440451,0.008099913137,0.00807384098,0.00485271,0.006542673333,0.007289996667,0.007364904314,0.007768366471,0.007884438235,0.008214150784,0.008108143333,0.008152347647,0.008107514314,0.008069939194,0.005877388024,0.00704926502,0.007284202064,0.007361276645,0.007764812296,0.007880767213,0.008210283474,0.008104260593,0.008148374143,0.008103711943
all,0,0.01,341.2954741,10.7538689,12.0418153,16.23222296,23.31421733,34.73633349,53.07054257,74.72576757,94.79466478,114.0754219,142.479521,0.0268217302,0.02929072765,0.05781357745,0.03286779431,0.02607033941,0.02684707706,0.02700182353,0.02714790451,0.0273586602,0.02719769529,0.02709827275,0.02705137373,0.01051823529,0.01791587412,0.02368490902,0.02632187078,0.02708828176,0.02723592176,0.02738254843,0.02759302176,0.02743279431,0.02733175706,0.02693606251,0.0154782613,0.02735476765,0.02753080479,0.02619550131,0.02696714007,0.02711836745,0.02726472164,0.02747534122,0.02731473894,0.02721451412
all,0,0.1,491.9886188,23.05997748,25.95806187,30.88346351,41.18867768,58.6061373,80.35700228,118.9215148,157.2601929,196.1289253,235.88363,0.0569077751,0.1987007159,0.1648320269,0.1285057792,0.08334309,0.06323052627,0.0630578214,0.062959794,0.0616183174,0.0602109958,0.0597633174,0.06003169627,0.009002282549,0.04274068137,0.05288138627,0.05891346784,0.06337030039,0.0668389554,0.0665896942,0.0650625954,0.0635071272,0.0630173142,0.05842800947,0.01722420957,0.0678801486,0.07492882675,0.0690306377,0.06330033617,0.06489335634,0.06472389027,0.06329363383,0.06181515329,0.06134719623
